epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,638.839,0.51049,0.97909,1.00734,0.86766,0.81689,0.86782,0.79465,0.39682,0.70565,0.90065,0.00997506,0.00332502,0.00997506,0.00332502,0.00997506,0.00332502,0.00997506,0.00332502
2,1280.79,0.55222,0.5937,1.01811,0.88592,0.80239,0.85632,0.78297,0.39216,0.59448,0.89018,0.0195796,0.00652652,0.0195796,0.00652652,0.0195796,0.00652652,0.0195796,0.00652652
3,1866.34,0.59086,0.5694,1.03632,0.86543,0.75342,0.83303,0.74057,0.47902,0.62735,0.96652,0.028788,0.00959602,0.028788,0.00959602,0.028788,0.00959602,0.028788,0.00959602
4,2380.73,0.5841,0.54734,1.03943,0.8681,0.80432,0.84137,0.75368,0.44637,0.5191,0.92592,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2763.14,0.55387,0.51585,1.02142,0.85144,0.78142,0.84328,0.70113,0.57137,0.61563,1.02873,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3149.94,0.53576,0.49374,1.01318,0.87188,0.80501,0.86315,0.80339,0.37808,0.44624,0.89219,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3590.95,0.52197,0.47938,1.00583,0.8912,0.81079,0.86235,0.80622,0.3697,0.41892,0.87952,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3925.29,0.51117,0.46607,1.00216,0.90282,0.79944,0.86977,0.81465,0.36414,0.41,0.88054,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4316.28,0.50172,0.45906,0.99546,0.88807,0.81464,0.86955,0.81783,0.3542,0.41671,0.87448,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4653.12,0.49583,0.44924,0.99108,0.90138,0.82179,0.87303,0.8269,0.33497,0.3761,0.85834,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5027.75,0.48694,0.44311,0.98671,0.89777,0.81774,0.87315,0.82784,0.33507,0.38556,0.85973,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5589.19,0.48591,0.44126,0.98915,0.90116,0.81094,0.87434,0.83068,0.32773,0.37554,0.85303,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5981.48,0.47651,0.43303,0.98191,0.90375,0.80725,0.86976,0.82748,0.32547,0.3796,0.85143,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,6360.47,0.47117,0.42567,0.97935,0.89803,0.81159,0.87073,0.82688,0.32201,0.37866,0.84842,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6830.13,0.46684,0.42285,0.97754,0.89628,0.81214,0.87334,0.83209,0.32283,0.37003,0.84957,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,7373.14,0.4682,0.42023,0.97893,0.88455,0.81702,0.87345,0.82493,0.33533,0.38437,0.86096,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,7812.47,0.46369,0.41849,0.97649,0.91574,0.81151,0.87652,0.83616,0.32556,0.36801,0.8535,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,8184.71,0.46078,0.41021,0.9735,0.89531,0.82179,0.87577,0.83642,0.31331,0.35813,0.84505,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
